Id,Name,Name (Bangla),Code,Agency,Type,Division,District,City Corporation,Upazila,Paurasava,Union,Private
121,Char Bishnapur Union Health Sub Center,চর বিষ্ণুপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000125,DGHS,Union Health Sub Center,Dhaka,Faridpur,Faridpur N/A,Sadarpur,Unions Of Sadarpur Upazila,Bhashanchar,0
122,Char Nawabed Uh&fwc,চরনাওয়াবেদ ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000126,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Faridpur,Faridpur N/A,Sadarpur,,,0
123,Hat Krishnapur Uh&fwc,হাট কৃষ্ণপুর ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,10000127,DGHS,Union Health & Family Welfare Center (UH&FWC),Dhaka,Faridpur,Faridpur N/A,Sadarpur,,,0
124,Sadarpur Upazila Health Complex,সদরপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000128,DGHS,Upazila Health Complex,Dhaka,Faridpur,Faridpur N/A,Sadarpur,Unions Of Sadarpur Upazila,Sadarpur,0
125,Shaheed Ahsan Ullah Master General Hospital,"শহীদ আহ্সান উল্লাহ্ মাষ্টার জেনারেল হাসপাতাল, টঙ্গী, গাজীপুর",10000129,DGHS,District/General Hospital,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Gazipur City Corporation,Urban Ward No-55,0
126,Azampur Union Health Sub Center,আজমপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000130,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Gazipur City Corporation,Urban Ward No-04,0
127,Datta Para Union Health Sub Center,দত্তপাড়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000131,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Gazipur City Corporation,Urban Ward No-02,0
128,Kadda(bashan) Union Health Sub Center,কড্ডা (বাসন) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000132,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Unions Of Gazipur Sadar Upazila,Basan,0
129,Mirzapur Union Health Sub Center,মির্জাপুর ইউনিয়ন ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000133,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Unions Of Gazipur Sadar Upazila,Mirzapur,0
130,Gazipur (sadar) Upazila Health Office,গাজীপুর (সদর) উপজেলা স্বাস্থ্য অফিস,10000134,DGHS,Upazila Level Office,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Gazipur City Corporation,Urban Ward No-28,0
131,Salna(kawaltia) Union Health Sub Center,সালনা (কাউলতিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র),10000135,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Unions Of Gazipur Sadar Upazila,Kawaltia,0
132,Gazipur Civil Surgeon Office,"সিভিল সার্জন অফিস, গাজীপুর",10000136,DGHS,District Level Office,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,,,0
133,Gazipur District Hospital,গাজীপুর জেলা হাসপাতাল,10000137,,Other,Dhaka,Gazipur,Gazipur City Corporation,Gazipur Sadar,Gazipur City Corporation,,0
134,Benupur Union Health Sub Center,বেনুপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000138,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Kaliakair,Unions Of Kaliakair Upazila,Dhaljora,0
135,Chabagan Union Health Sub Center,চাবাগান ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000139,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Kaliakair,Unions Of Kaliakair Upazila,Boali,0
136,Kaliakair Union Health Sub Center,কালিয়াকৈর  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000140,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Kaliakair,Unions Of Kaliakair Upazila,Sreefaltali,0
137,Kaliakair Upazila Health Complex,কালিয়াকৈর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000141,DGHS,Upazila Health Complex,Dhaka,Gazipur,Gazipur N/A,Kaliakair,Unions Of Kaliakair Upazila,Sreefaltali,0
138,Shakershar Union Health Sub Center,শাকেরশর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000142,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Kaliakair,Unions Of Kaliakair Upazila,Madhyapara,0
139,Kaliganj Union Health Sub Center,কালীগঞ্জ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000143,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Kaliganj,Kaliganj Paurashava,Urban Ward No-04,0
140,Kaliganj Upazila Health Complex,কালীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10000144,DGHS,Upazila Health Complex,Dhaka,Gazipur,Gazipur N/A,Kaliganj,Kaliganj Paurashava,Urban Ward No-05,0
141,Kapasia Union Health Sub Center,কাপাসিয়া  ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000145,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Kapasia,Unions Of Kapasia Upazila,Kapasia,0
142,Kapasia Upazila Health Complex,"কাপাসিয়া উপজেলা স্বাস্থ্য কমপ্লেক্স,",10000146,DGHS,Upazila Health Complex,Dhaka,Gazipur,Gazipur N/A,Kapasia,Unions Of Kapasia Upazila,Targaon,0
143,Toke Union Health Sub Center,টোক ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000147,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Kapasia,Unions Of Kapasia Upazila,Toke,0
144,Barmi Union Health Sub Center,বরমী ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000148,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Sreepur,Unions Of Sreepur Upazila,Barmi,0
145,Kaoraid Union Health Sub Center,কাওরাইদ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000149,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Sreepur,Unions Of Sreepur Upazila,Kaoraid,0
146,Mawna Union Health Sub Center,মাওনা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000150,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Sreepur,Unions Of Sreepur Upazila,Maona,0
147,Sreepur Upazila Health Complex,শ্রীপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000151,DGHS,Upazila Health Complex,Dhaka,Gazipur,Gazipur N/A,Sreepur,Sreepur Paurashava,Urban Ward No-02,0
148,Rajendrapur(rajabari) Union Health Sub Center,রাজেন্দ্রপুর (রাজবাড়ী) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000152,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Sreepur,Unions Of Sreepur Upazila,Rajabari,0
149,Sreepur Union Health Sub Center,শ্রীপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000153,DGHS,Union Health Sub Center,Dhaka,Gazipur,Gazipur N/A,Sreepur,Sreepur Paurashava,Urban Ward No-02,0
150,Kajulia Union Health Sub Center,কাজুলিয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000154,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Unions Of Gopalganj Sadar Upazila,Kajulia,0
151,Gopalganj (sadar) Upazila Health Office,গোপালগঞ্জ (সদর) উপজেলা স্বাস্থ্য অফিস,10000155,DGHS,Upazila Level Office,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Unions Of Gopalganj Sadar Upazila,,0
152,Paikkandi Union Health Sub Center,পাইক কান্দি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000156,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Unions Of Gopalganj Sadar Upazila,Paikkandi,0
153,Satpar Union Health Sub Center,সাতপাড় ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000157,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Unions Of Gopalganj Sadar Upazila,Satpar,0
154,Ulpur Union Health Sub Center,উলপুর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000158,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Unions Of Gopalganj Sadar Upazila,Ulpur,0
155,Gopalganj Civil Surgeon Office,গোপালগঞ্জ সিভিল সার্জন অফিস,10000160,DGHS,District Level Office,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Gopalganj Paurashava,Urban Ward No-09,0
156,Gopalganj Chest Disease Clinic,গোপালগঞ্জ বক্ষব্যাধি ক্লিনিক,10000161,DGHS,Chest Disease Clinic,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,Gopalganj Paurashava,Urban Ward No-09,0
157,Gopinathpur 10 bed Hospital (RHC),গোপীনাথপুর ১০ শয্যা বিশিষ্ট হাসপাতাল (পল্লী স্বাস্থ্য কেন্দ্র),10000162,DGHS,10-bed Hospital,Dhaka,Gopalganj,Gopalganj N/A,Gopalganj Sadar,,,0
158,Fukra Union Health Sub Center,ফুকরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000163,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Fukura,0
159,Ghonapara(ratail) Union Health Sub Center,ঘো্নাপাড়া (রাতাইল) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000164,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Ratail,0
160,Joynagar(moheshpur) Union Health Sub Center,জয়নগর (মহেষপুর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000165,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Maheshpur,0
161,Nizamkandi Union Health Sub Center,নিজামকান্দি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000166,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Nijamkandi,0
162,Kashiani Upazila Health Complex,কাশিয়ানী উপজেলা স্বাস্থ্য কমপ্লেক্স,10000167,DGHS,Upazila Health Complex,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Kashiani,0
163,Rahuthar(hatiara) Union Health Sub Center,রাহুথর (হাটিয়ারা) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000168,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Hatiara,0
164,Rajpat Union Health Sub Center,রাজপাট ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000169,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Rajpat,0
165,Ramdia(bethuri) Union Health Sub Center,রামদিয়া (বেথুরি) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000170,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Bethuri,0
166,Sajail Union Health Sub Center,সাজাইল ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000171,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kashiani,Unions Of Kashiani Upazila,Sajail,0
167,Kushla Union Health Sub Center,কুশলা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000172,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kotalipara,Unions Of Kotalipara Upazila,Kushla,0
168,Kotalipara Upazila Health Complex,কোটালীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10000173,DGHS,Upazila Health Complex,Dhaka,Gopalganj,Gopalganj N/A,Kotalipara,Kotalipara Paurashava,Urban Ward No-03,0
169,Ramshil Union Health Sub Center,রামশিল ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000174,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Kotalipara,Unions Of Kotalipara Upazila,Ramshil,0
170,Dignagar Union Health Sub Center,দিগনগর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000175,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Unions Of Muksudpur Upazila,Dignagar,0
171,Gohala Union Health Sub Center,গোহালা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000176,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Unions Of Muksudpur Upazila,Gohala,0
172,Jalirpar Union Health Sub Center,জলিরপাড় ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000177,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Unions Of Muksudpur Upazila,Jalirpar,0
173,Kalinagar Union Health Sub Center,কালিনগর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000178,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Unions Of Muksudpur Upazila,Bhabrasur,0
174,Khanpura Union Health Sub Center,খানপুরা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000179,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Unions Of Muksudpur Upazila,Mochna,0
175,Machna Union Health Sub Center,মাচনা ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000180,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Unions Of Muksudpur Upazila,Mochna,0
176,Muksudpur Upazila Health Complex,মুকসুদপুর উপজেলা স্বাস্থ্য কমপ্লেক্স,10000181,DGHS,Upazila Health Complex,Dhaka,Gopalganj,Gopalganj N/A,Muksudpur,Muksudpur Paurashava,Urban Ward No-06,0
177,Tungipara Upazila Health Complex,টুংগীপাড়া উপজেলা স্বাস্থ্য কমপ্লেক্স,10000182,DGHS,Upazila Health Complex,Dhaka,Gopalganj,Gopalganj N/A,Tungipara,Tungipara Paurashava,,0
178,Pakutia(dumaria) Union Health Sub Center,পাকুটিয়া(ডুমারিয়া) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000183,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Tungipara,Unions Of Tungipara Upazila,Dumuria,0
179,Patgati Union Health Sub Center,পাটগাতি ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000184,DGHS,Union Health Sub Center,Dhaka,Gopalganj,Gopalganj N/A,Tungipara,Unions Of Tungipara Upazila,Patgati,0
180,Ghashirpara Union Health Sub Center,ঘাশিরপাড়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000185,DGHS,Union Health Sub Center,Mymensingh,Jamalpur,Jamalpur N/A,Bakshiganj,Unions Of Bakshiganj Upazila,Bagar Char,0
181,Marurchar Union Health Sub Center,মেরুরচর ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000186,DGHS,Union Health Sub Center,Mymensingh,Jamalpur,Jamalpur N/A,Bakshiganj,Unions Of Bakshiganj Upazila,Merur Char,0
182,Nilakhia Union Health Sub Center,নিলক্ষীয়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000187,DGHS,Union Health Sub Center,Mymensingh,Jamalpur,Jamalpur N/A,Bakshiganj,Unions Of Bakshiganj Upazila,Nilakshmia,0
183,Bakshiganj Upazila Health Complex,বকশীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,10000188,DGHS,Upazila Health Complex,Mymensingh,Jamalpur,Jamalpur N/A,Bakshiganj,Bakshiganj Paurashava,,0
184,Shadhurpara Union Health Sub Center,সাধুরপাড়া ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000189,DGHS,Union Health Sub Center,Mymensingh,Jamalpur,Jamalpur N/A,Bakshiganj,Unions Of Bakshiganj Upazila,Sadhur Para,0
185,Sharmara(bogarchar) Union Health Sub Center,ষারমারা (বগারচর) ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,10000190,DGHS,Union Health Sub Center,Mymensingh,Jamalpur,Jamalpur N/A,Bakshiganj,Unions Of Bakshiganj Upazila,Bagar Char,0
